Day,Session,BehavType,ImagingFile,BehavFile,Alignment,ROI,TC,Neuropil,dff,Deconvolution
000,001,Tuning PuretoneBef,cd036_000_000,,0,0,0,0,0,0
000,002,Tuning WhiteNoiseBef,cd036_000_001,,0,0,0,0,0,0
,,,,,0,0,0,0,0,0
,,,,,0,0,0,0,0,0
001,001,Behavior,cd036_001_000,cd036_1v1.txt,0,0,0,0,0,0
001,002,Behavior,cd036_001_002,cd036_1v2.txt,0,0,0,0,0,0
001,003,Behavior,cd036_001_003,cd036_1v3.txt,0,0,0,0,0,0
001,004,Behavior,cd036_001_004,cd036_1v4.txt,0,0,0,0,0,0
001,005,Baseline,cd036_001_005,,0,0,0,0,0,0
002,001,Behavior,cd036_002_001,cd036_2v1.txt,0,0,0,0,0,0
002,002,Behavior,cd036_002_002,cd036_2v2.txt,0,0,0,0,0,0
002,003,Behavior,cd036_002_003,cd036_2v3.txt,0,0,0,0,0,0
002,004,Behavior,cd036_002_004,cd036_2v4.txt,0,0,0,0,0,0
002,005,Baseline,cd036_002_005,,0,0,0,0,0,0
003,001,Behavior,cd036_003_001,cd036_3v1.txt,0,0,0,0,0,0
003,002,Behavior,cd036_003_002,cd036_3v2.txt,0,0,0,0,0,0
003,003,Behavior,cd036_003_004,cd036_3v3.txt,0,0,0,0,0,0
003,004,Baseline,cd036_003_006,,0,0,0,0,0,0
004,001,Behavior,cd036_004_001,cd036_4v1.txt,0,0,0,0,0,0
004,002,Behavior,cd036_004_002,cd036_4v2.txt,0,0,0,0,0,0
004,003,Behavior,cd036_004_003,cd036_4v3.txt,0,0,0,0,0,0
004,004,Baseline,cd036_004_004,,0,0,0,0,0,0
005,001,Behavior,cd036_005_001,cd036_5v1.txt,0,0,0,0,0,0
005,002,Behavior,cd036_005_002,cd036_5v2.txt,0,0,0,0,0,0
005,003,Behavior,cd036_005_003,cd036_5v3.txt,0,0,0,0,0,0
005,004,Baseline,cd036_005_004,,0,0,0,0,0,0
006,001,Behavior,cd036_006_001,cd036_6v1.txt,0,0,0,0,0,0
006,002,Behavior,cd036_006_002,cd036_6v2.txt,0,0,0,0,0,0
006,003,Behavior,cd036_006_004,cd036_6v3.txt,0,0,0,0,0,0
006,004,Baseline,cd036_006_005,,0,0,0,0,0,0
007,001,Behavior,cd036_007_001,cd036_7v1.txt,0,0,0,0,0,0
007,002,Behavior,cd036_007_002,cd036_7v2.txt,0,0,0,0,0,0
007,003,Behavior,cd036_007_004,cd036_7v3.txt,0,0,0,0,0,0
007,004,Baseline,cd036_007_005,,0,0,0,0,0,0
008,001,Behavior,cd036_008_001,cd036_8v1.txt,0,0,0,0,0,0
008,002,Behavior,cd036_008_002,cd036_8v2.txt,0,0,0,0,0,0
008,003,Behavior,cd036_008_003,cd036_8v3.txt,0,0,0,0,0,0
008,004,Baseline,cd036_008_004,,0,0,0,0,0,0
009,001,Behavior,cd036_009_001,cd036_9v1.txt,0,0,0,0,0,0
009,002,Behavior,cd036_009_002,cd036_9v2.txt,0,0,0,0,0,0
009,003,Behavior,cd036_009_003,cd036_9v3.txt,0,0,0,0,0,0
009,004,Baseline,cd036_009_004,,0,0,0,0,0,0
010,001,Behavior,cd036_010_002,cd036_10v1.txt,0,0,0,0,0,0
010,002,Behavior,cd036_010_004,cd036_10v2.txt,0,0,0,0,0,0
010,003,Behavior,cd036_010_007,cd036_10v3.txt,0,0,0,0,0,0
010,004,Baseline,cd036_010_008,,0,0,0,0,0,0
011,001,Behavior,cd036_011_002,cd036_11v1.txt,0,0,0,0,0,0
011,002,Behavior,cd036_011_004,cd036_11v2.txt,0,0,0,0,0,0
011,003,Behavior,cd036_011_005,cd036_11v3.txt,0,0,0,0,0,0
011,004,Baseline,cd036_011_006,,0,0,0,0,0,0
012,001,Behavior,cd036_012_002,cd036_12v1.txt,0,0,0,0,0,0
012,002,Behavior,cd036_012_005,cd036_12v2.txt,0,0,0,0,0,0
012,003,Behavior,cd036_012_007,cd036_12v3.txt,0,0,0,0,0,0
012,004,Baseline,cd036_012_008,,0,0,0,0,0,0
013,001,Behavior,cd036_013_001,cd036_13v1.txt,0,0,0,0,0,0
013,002,Behavior,cd036_013_002,cd036_13v2.txt,0,0,0,0,0,0
013,003,Behavior,cd036_013_003,cd036_13v3.txt,0,0,0,0,0,0
013,004,Baseline,cd036_013_004,,0,0,0,0,0,0
014,001,Behavior,cd036_014_001,cd036_14v1.txt,0,0,0,0,0,0
014,002,Behavior,cd036_014_002,cd036_14v2.txt,0,0,0,0,0,0
014,003,Behavior,cd036_014_004,cd036_14v3.txt,0,0,0,0,0,0
014,004,Baseline,cd036_014_006,,0,0,0,0,0,0
015,001,Behavior,cd036_015_001,cd036_15v1.txt,0,0,0,0,0,0
015,002,Behavior,cd036_015_003,cd036_15v2.txt,0,0,0,0,0,0
015,003,Behavior,cd036_015_005,cd036_15v3.txt,0,0,0,0,0,0
015,004,Baseline,cd036_015_006,,0,0,0,0,0,0
016,001,Behavior,cd036_016_001,cd036_16v1.txt,0,0,0,0,0,0
016,002,Behavior,cd036_016_002,cd036_16v2.txt,0,0,0,0,0,0
016,003,Behavior,cd036_016_003,cd036_16v3.txt,0,0,0,0,0,0
016,004,Baseline,cd036_016_004,,0,0,0,0,0,0
017,001,Tuning PuretoneAftD1,cd036_017_000,,0,0,0,0,0,0
017,002,Tuning WhiteNoiseAftD1,cd036_017_001,,0,0,0,0,0,0
018,001,Tuning PuretoneAftD7,cd036_018_000,,0,0,0,0,0,0
018,002,Tuning WhiteNoiseAftD7,cd036_018_001,,0,0,0,0,0,0
