Day,Session,BehavType,ImagingFile,BehavFile,Alignment,ROI,TC,Neuropil,dff,Deconvolution,nFrames_oneplane,datapath,suite2ppath,h5path,sbxpath,behavpath,roiFile,tcFile
0,1,Tuning WhiteNoiseBef,cd037_000_000,,0,0,0,0,0,0,2500 2499,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
0,2,Tuning PuretoneBef,cd037_000_001,,0,0,0,0,0,0,8500 8499,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
1,1,Behavior,cd037_001_002,cd037_1v1.txt,0,0,0,0,0,0,14796 14796,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
1,2,Behavior,cd037_001_004,cd037_1v2.txt,0,0,0,0,0,0,12778 12778,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
1,3,Behavior,cd037_001_005,cd037_1v3.txt,0,0,0,0,0,0,7223 7223,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
1,4,Baseline,cd037_001_006,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
2,1,Behavior,cd037_002_000,cd037_2v1.txt,0,0,0,0,0,0,14228 14228,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
2,2,Behavior,cd037_002_001,cd037_2v2.txt,0,0,0,0,0,0,12491 12490,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
2,3,Behavior,cd037_002_002,cd037_2v3.txt,0,0,0,0,0,0,7248 7248,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
2,4,Baseline,cd037_002_003,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
2,5,Baseline,cd037_002_004,,0,0,0,0,0,0,500 499,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
3,1,Behavior,cd037_003_001,cd037_3v1.txt,0,0,0,0,0,0,13197 13197,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
3,2,Behavior,cd037_003_003,cd037_3v2.txt,0,0,0,0,0,0,12158 12157,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
3,3,Behavior,cd037_003_004,cd037_3v3.txt,0,0,0,0,0,0,11290 11289,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
3,4,Baseline,cd037_003_005,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
4,1,Behavior,cd037_004_000,cd037_4v1.txt,0,0,0,0,0,0,12437 12436,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
4,2,Behavior,cd037_004_001,cd037_4v2.txt,0,0,0,0,0,0,11484 11483,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
4,3,Behavior,cd037_004_002,cd037_4v3.txt,0,0,0,0,0,0,10066 10065,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
4,4,Baseline,cd037_004_003,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
5,1,Behavior,cd037_005_000,cd037_5v1.txt,0,0,0,0,0,0,11981 11980,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
5,2,Behavior,cd037_005_002,cd037_5v2.txt,0,0,0,0,0,0,11033 11032,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
5,3,Behavior,cd037_005_003,cd037_5v3.txt,0,0,0,0,0,0,9889 9889,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
5,4,Baseline,cd037_005_004,,0,0,0,0,0,0,5000 4999,C:\Users\zzhu34\Documents\data\cd037,U:\LabData5\cd037\suite2p,U:\LabData5\cd037,U:\LabData5\cd037,U:\LabData5\cd037\behavior,roi\cd037_roi0.zip roi\cd037_roi1.zip,TC\cd037_TC_plane0.mat TC\cd037_TC_plane1.mat
