Day,Session,BehavType,ImagingFile,BehavFile,Alignment,ROI,TC,Neuropil,dff,Deconvolution
0,1,Tuning PuretoneBef,cd017_000_000,,0,0,0,0,0,0
0,2,Tuning WhiteNoiseBef,cd017_000_001,,0,0,0,0,0,0
1,1,Behavior,cd017_001_000,cd017_1v1.txt,0,0,0,0,0,0
1,2,Behavior,cd017_001_001,cd017_1v2.txt,0,0,0,0,0,0
1,3,Behavior,cd017_001_002,cd017_1v3.txt,0,0,0,0,0,0
1,4,Baseline,cd017_001_003,,0,0,0,0,0,0
2,1,Behavior,cd017_002_000,cd017_2v1.txt,0,0,0,0,0,0
2,2,Behavior,cd017_002_001,cd017_2v2.txt,0,0,0,0,0,0
2,3,Behavior,cd017_002_002,cd017_2v3.txt,0,0,0,0,0,0
2,4,Bad,cd017_002_003,cd017_2v4.txt,0,0,0,0,0,0
2,5,Baseline,cd017_002_005,,0,0,0,0,0,0
3,1,Behavior,cd017_003_001,cd017_3v1.txt,0,0,0,0,0,0
3,2,Behavior,cd017_003_002,cd017_3v2.txt,0,0,0,0,0,0
3,3,Behavior,cd017_003_003,cd017_3v3.txt,0,0,1,0,0,0
3,4,Behavior,cd017_003_004,cd017_3v4.txt,0,0,0,0,0,0
3,5,Baseline,cd017_003_005,,0,0,0,0,0,0
4,1,Behavior,cd017_004_001,cd017_4v1.txt,0,0,0,0,0,0
4,2,Behavior,cd017_004_002,cd017_4v2.txt,0,0,1,0,0,0
4,3,Behavior,cd017_004_003,cd017_4v3.txt,0,1,0,0,0,0
4,4,Behavior,cd017_004_004,cd017_4v4.txt,0,0,0,0,0,0
4,5,Baseline,cd017_004_005,,0,0,0,0,0,0
5,1,Behavior,cd017_005_002,cd017_5v1.txt,0,0,0,0,0,0
5,2,Behavior,cd017_005_003,cd017_5v2.txt,0,0,0,0,0,0
5,3,Behavior,cd017_005_004,cd017_5v3.txt,0,0,0,0,0,0
5,4,Behavior,cd017_005_005,cd017_5v4.txt,0,0,0,0,0,0
5,5,Baseline,cd017_005_006,,0,0,0,0,0,0
6,1,Behavior,cd017_006_001,cd017_6v1.txt,0,0,0,0,0,0
6,2,Behavior,cd017_006_002,cd017_6v2.txt,0,0,0,0,0,0
6,3,Behavior,cd017_006_003,cd017_6v3.txt,0,0,0,0,0,0
6,4,Behavior,cd017_006_004,cd017_6v4.txt,0,0,0,0,0,0
6,5,Baseline,cd017_006_005,,0,0,0,0,0,0
7,1,Behavior,cd017_007_002,cd017_7v1.txt,0,0,0,0,0,0
7,2,Behavior,cd017_007_003,cd017_7v2.txt,0,0,0,0,0,0
7,3,Behavior,cd017_007_004,cd017_7v3.txt,0,0,0,0,0,0
7,4,Behavior,cd017_007_005,cd017_7v4.txt,0,0,0,0,0,0
7,5,Baseline,cd017_007_006,,0,0,0,0,0,0
8,1,Behavior,cd017_008_001,cd017_8v1.txt,0,0,0,0,0,0
8,2,Behavior,cd017_008_002,cd017_8v2.txt,0,0,0,0,0,0
8,3,Behavior,cd017_008_003,cd017_8v3.txt,0,0,0,0,0,0
8,4,Behavior,cd017_008_004,cd017_8v4.txt,0,0,0,0,0,0
8,5,Baseline,cd017_008_005,,0,0,0,0,0,0
9,1,Behavior,cd017_009_001,cd017_9v1.txt,0,0,0,0,0,0
9,2,Behavior,cd017_009_005,cd017_9v2.txt,0,0,0,0,0,0
9,3,Behavior,cd017_009_006,cd017_9v3.txt,0,0,0,0,0,0
9,4,Behavior,cd017_009_007,cd017_9v4.txt,0,0,0,0,0,0
9,5,Baseline,cd017_009_008,,0,0,0,0,0,0
10,1,Behavior,cd017_010_001,cd017_10v1.txt,0,0,0,0,0,0
10,2,Behavior,cd017_010_002,cd017_10v2.txt,0,0,0,0,0,0
10,3,Behavior,cd017_010_007,cd017_10v3.txt,0,0,0,0,0,0
10,4,Behavior,cd017_010_008,cd017_10v4.txt,0,0,0,0,0,0
10,5,Baseline,cd017_010_009,,0,0,0,0,0,0
11,1,Behavior,cd017_011_001,cd017_11v1.txt,0,0,0,0,0,0
11,2,Behavior,cd017_011_002,cd017_11v2.txt,0,0,0,0,0,0
11,3,Behavior,cd017_011_005,cd017_11v3.txt,0,0,0,0,0,0
11,4,Behavior,cd017_011_006,cd017_11v4.txt,0,0,0,0,0,0
11,5,Baseline,cd017_011_007,,0,0,0,0,0,0
12,1,Behavior,cd017_012_001,cd017_12v1.txt,0,0,0,0,0,0
12,2,Behavior,cd017_012_002,cd017_12v2.txt,0,0,0,0,0,0
12,3,Behavior,cd017_012_005,cd017_12v3.txt,0,0,0,0,0,0
12,4,Behavior,cd017_012_006,cd017_12v4.txt,0,0,0,0,0,0
12,5,Baseline,cd017_012_007,,0,0,0,0,0,0
13,1,Behavior,cd017_013_001,cd017_13v1.txt,0,0,0,0,0,0
13,2,Behavior,cd017_013_002,cd017_13v2.txt,0,0,0,0,0,0
13,3,Behavior,cd017_013_003,cd017_13v3.txt,0,0,0,0,0,0
13,4,Behavior,cd017_013_004,cd017_13v4.txt,0,0,0,0,0,0
13,5,Baseline,cd017_013_005,,0,0,0,0,0,0
14,1,Behavior,cd017_014_003,cd017_14v1.txt,0,0,0,0,0,0
14,2,Behavior,cd017_014_004,cd017_14v2.txt,0,0,0,0,0,0
14,3,Behavior,cd017_014_005,cd017_14v3.txt,0,0,0,0,0,0
14,4,Behavior,cd017_014_006,cd017_14v4.txt,0,0,0,0,0,0
14,5,Baseline,cd017_014_007,,0,0,0,0,0,0
15,1,Behavior,cd017_015_001,cd017_15v1.txt,0,0,0,0,0,0
15,2,Behavior,cd017_015_002,cd017_15v2.txt,0,0,0,0,0,0
15,3,Behavior,cd017_015_003,cd017_15v3.txt,0,0,0,0,0,0
15,4,Behavior,cd017_015_004,cd017_15v4.txt,0,0,0,0,0,0
15,5,Baseline,cd017_015_005,,0,0,0,0,0,0
